ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
Pg,Paraguayan Guaraní,para1311,,,,
Uk,Urubú-Ka’apór,urub1250,,,,
Gv,Gavião,gavi1246,,,,
Zo,Zoró,zoro1244,,,,
Ju,Jurúna,juru1256,,,,
Xi,Xipáya,xipa1240,,,,
Ta,Tapirapé,tapi1254,,,,
Pt,Parintintín,pari1258,,,,
Aw,Awetí,awet1244,,,,
Mw,Mawé,sate1243,,,,
Mu,Mundurukú,mund1330,,,,
Ku,Kuruáya,kuru1309,,,,
Wa,Wayoró,wayo1238,,,,
Ma,Makuráp,maku1278,,,,
Tu,Tuparí,tupa1250,,,,
Me,Mekéns,saki1248,,,,
Ka,Káro,karo1305,,,,
Ar,Aruá,arua1261,,,,
Sa,Salamãy,sala1273,,,,
Su,Suruí,suru1262,,,,
Kt,Karitiána,kari1311,,,,
Ak,Akuntsú,akun1241,,,,
Pu,Puruborá,puru1264,,,,
