ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Ak-1_i-1,,Ak,1_i,õn,õn,õ n,,Galucio2015,,
Ar-1_i-1,,Ar,1_i,õõt,õõt,õ/õː t,,Galucio2015,,
Gv-1_i-1,,Gv,1_i,õõt,õõt,õ/õː t,,Galucio2015,,
Ju-1_i-1,,Ju,1_i,una,una,u n a,,Galucio2015,,
Ka-1_i-1,,Ka,1_i,ʔõn,ʔõn,ʔ õ n,,Galucio2015,,
Kt-1_i-1,,Kt,1_i,ĩn,ĩn,ĩ n,,Galucio2015,,
Ku-1_i-1,,Ku,1_i,õn,õn,õ n,,Galucio2015,,
Ma-1_i-1,,Ma,1_i,õn,õn,õ n,,Galucio2015,,
Me-1_i-1,,Me,1_i,õn,õn,õ n,,Galucio2015,,
Mu-1_i-1,,Mu,1_i,ṍn,ṍn,õ n,,Galucio2015,,
Pu-1_i-1,,Pu,1_i,ʔõn,ʔõn,ʔ õ n,,Galucio2015,,
Sa-1_i-1,,Sa,1_i,õõt,õõt,õ/õː t,,Galucio2015,,
Su-1_i-1,,Su,1_i,ó.ẽn,ó.ẽn,ó/o + ẽ n,,Galucio2015,,
Tu-1_i-1,,Tu,1_i,õn,õn,õ n,,Galucio2015,,
Wa-1_i-1,,Wa,1_i,õn,õn,õ n,,Galucio2015,,
Xi-1_i-1,,Xi,1_i,una,una,u n a,,Galucio2015,,
Zo-1_i-1,,Zo,1_i,õõt,õõt,õ/õː t,,Galucio2015,,
Aw-1_i-1,,Aw,1_i,ito,ito,i t o,,Galucio2015,,
Mw-1_i-1,,Mw,1_i,ujto,ujto,u j t o,,Galucio2015,,
Pg-1_i-1,,Pg,1_i,ʃe,ʃe,ʃ e,,Galucio2015,,
Pt-1_i-1,,Pt,1_i,ji(hi),ji,j i,,Galucio2015,,
Ta-1_i-1,,Ta,1_i,ie,ie,i e,,Galucio2015,,
Uk-1_i-1,,Uk,1_i,ihẽ,ihẽ,i h ẽ,,Galucio2015,,
Ak-2_you-1,,Ak,2_you,en,en,e n,,Galucio2015,,
Ar-2_you-1,,Ar,2_you,ẽẽt,ẽẽt,ẽː t,,Galucio2015,,
Aw-2_you-1,,Aw,2_you,ʔen,ʔen,ʔ e n,,Galucio2015,,
Gv-2_you-1,,Gv,2_you,ẽẽt,ẽẽt,ẽː t,,Galucio2015,,
Ju-2_you-1,,Ju,2_you,ena,ena,e n a,,Galucio2015,,
Ka-2_you-1,,Ka,2_you,ʔẽn,ʔẽn,ʔ ẽ n,,Galucio2015,,
Kt-2_you-1,,Kt,2_you,ãn,ãn,ã n,,Galucio2015,,
Ku-2_you-1,,Ku,2_you,ẽn,ẽn,ẽ n,,Galucio2015,,
Ma-2_you-1,,Ma,2_you,ẽn,ẽn,ẽ n,,Galucio2015,,
Me-2_you-1,,Me,2_you,ẽt,ẽt,ẽ t,,Galucio2015,,
Mu-2_you-1,,Mu,2_you,ẽ́n,ẽ́n,ẽ́/ẽ n,,Galucio2015,,
Mw-2_you-1,,Mw,2_you,en,en,e n,,Galucio2015,,
Pu-2_you-1,,Pu,2_you,ʔẽn,ʔẽn,ʔ ẽ n,,Galucio2015,,
Sa-2_you-1,,Sa,2_you,ẽẽt,ẽẽt,ẽː t,,Galucio2015,,
Su-2_you-1,,Su,2_you,é.ẽn,é.ẽn,é/e + ẽ n,,Galucio2015,,
Tu-2_you-1,,Tu,2_you,ẽn,ẽn,ẽ n,,Galucio2015,,
Wa-2_you-1,,Wa,2_you,ʔẽn,ʔẽn,ʔ ẽ n,,Galucio2015,,
Xi-2_you-1,,Xi,2_you,ena,ena,e n a,,Galucio2015,,
Zo-2_you-1,,Zo,2_you,ẽẽt,ẽẽt,ẽː t,,Galucio2015,,
Pg-2_you-1,,Pg,2_you,nde,nde,n d e,,Galucio2015,,
Pt-2_you-1,,Pt,2_you,nde(he),nde,n d e,,Galucio2015,,
Ta-2_you-1,,Ta,2_you,ane,ane,a n e,,Galucio2015,,
Uk-2_you-1,,Uk,2_you,nde,nde,n d e,,Galucio2015,,
Pg-3_weinclusive-1,,Pg,3_weinclusive,ɲande,ɲande,ɲ a n d e,,Galucio2015,,
Pt-3_weinclusive-1,,Pt,3_weinclusive,ɲande,ɲande,ɲ a n d e,,Galucio2015,,
Ta-3_weinclusive-1,,Ta,3_weinclusive,tjane,tjane,t j a n e,,Galucio2015,,
Uk-3_weinclusive-1,,Uk,3_weinclusive,jande,jande,j a n d e,,Galucio2015,,
Ar-3_weinclusive-1,,Ar,3_weinclusive,panóój,panóój,p a n óó/oː j,,Galucio2015,,
Gv-3_weinclusive-1,,Gv,3_weinclusive,panóój,panóój,p a n óó/oː j,,Galucio2015,,
Su-3_weinclusive-1,,Su,3_weinclusive,pá.ẽn,pá.ẽn,p á/a + ẽ n,,Galucio2015,,
Zo-3_weinclusive-1,,Zo,3_weinclusive,panóój,panóój,p a n óó/oː j,,Galucio2015,,
Ak-3_weinclusive-1,,Ak,3_weinclusive,kiʧe,kiʧe,k i tʃ e,,Galucio2015,,
