ID,NAME,GLOTTOCODE,GLOTTOLOG_NAME
Ak,Akuntsú,akun1241,
Ar,Aruá,arua1261,
Aw,Awetí,awet1244,
Gv,Gavião,gavi1246,
Ju,Jurúna,juru1256,
Ka,Káro,karo1305,
Kt,Karitiána,kari1311,
Ku,Kuruáya,kuru1309,
Ma,Makuráp,maku1278,
Me,Mekéns,saki1248,
Mu,Mundurukú,mund1330,
Mw,Mawé,sate1243,
Pg,Paraguayan Guaraní,para1311,
Pt,Parintintín,pari1258,
Pu,Puruborá,puru1264,
Sa,Salamãy,sala1273,
Su,Suruí,suru1262,
Ta,Tapirapé,tapi1254,
Tu,Tuparí,tupa1250,
Uk,Urubú-Ka’apór,urub1250,
Wa,Wayoró,wayo1238,
Xi,Xipáya,xipa1240,
Zo,Zoró,zoro1244,
