Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES	UNICODE
ẽẽ̀	ẽẽ̀/ẽː	E	Vowel	1	U+1EBD U+1EBD U+0300	"-pepó-tẽẽ̀"	Gv	
-joɾ	j o ɾ	J U R	Consonant Vowel Consonant	1	U+002D U+006A U+006F U+027E	"-joɾ"	Pt	
abə́	a b ə́/ə	A P E	Vowel Consonant Vowel	1	U+0061 U+0062 U+0259 U+0301	"abə́"	Mu	
hapo	h a p o	H A P U	Consonant Vowel Consonant Vowel	1	U+0068 U+0061 U+0070 U+006F	"hapo"	Ma	
tə̃j	t ə̃ j	T E J	Consonant Vowel Consonant	1	U+0074 U+0259 U+0303 U+006A	"tə̃j"	Mu	
ã́ã́	ã́ã́/ãː	A	Vowel	5	U+00E3 U+0301 U+00E3 U+0301	"-kã́ã́ɾ,-ãbo kã́ã́lĩĩ,kã́ã́l"	Ar,Sa,Su	U+00e3 U+0301 U+00e3 U+0301
ĩ́ĩ́	ĩ́ĩ́/ĩː	I	Vowel	4	U+0129 U+0301 U+0129 U+0301	"-sĩ́ĩ́n,-ĩ́ĩ́t,awĩ́ĩ́wĩĩ"	Ju,Sa,Su	U+0129 U+0301 U+0129 U+0301
ẽ́ẽ́	ẽ́ẽ́/ẽː	E	Vowel	4	U+1EBD U+0301 U+1EBD U+0301	"-jẽ́ẽ́j,-ɲẽ́ẽ́j,ɲẽ́ẽ́j"	Ar,Gv,Zo	U+1ebd U+0301 U+1ebd U+0301
o-jãj	o j ã j	U J A J	Vowel Consonant Vowel Consonant	1	U+006F U+002D U+006A U+00E3 U+006A	"o-jãj"	Me	
péɾén	p é/e ɾ é/e n	P E R E N	Consonant Vowel Consonant Vowel Consonant	1	U+0070 U+00E9 U+027E U+00E9 U+006E	"péɾén"	Mu	
pətét	p ə t é/e t	P E T E T	Consonant Vowel Consonant Vowel Consonant	1	U+0070 U+0259 U+0074 U+00E9 U+0074	"pətét"	Mu	
taʃíp	t a ʃ í/i p	T A S I P	Consonant Vowel Consonant Vowel Consonant	1	U+0074 U+0061 U+0283 U+00ED U+0070	"taʃíp"	Mu	
ta̤bə́	t a̤ b ə́/ə	T A P E	Consonant Vowel Consonant Vowel	2	U+0074 U+0061 U+0324 U+0062 U+0259 U+0301	"ta̤bə́"	Mu
topsa̤	t o p s a	T U P S A	Consonant Vowel Consonant Consonant Vowel	1	U+0074 U+006F U+0070 U+0073 U+0061 U+0324	"topsa̤"	Mu
tóbia̤	t ó/o b i a̤	T U P I A	Consonant Vowel Consonant Vowel Vowel	1	U+0074 U+00F3 U+0062 U+0069 U+0061 U+0324	"tóbia̤"	Ku
ta̤jbít	t a̤ j b í/i t	T A J P I T	Consonant Vowel Consonant Consonant Vowel Consonant	1	U+0074 U+0061 U+0324 U+006A U+0062 U+00ED U+0074	"ta̤jbít"	Mu
toa̤jbə́	t o a̤ j b ə́/ə	T U A J P E	Consonant Vowel Vowel Consonant Consonant Vowel	1	U+0074 U+006F U+0061 U+0324 U+006A U+0062 U+0259 U+0301	"toa̤jbə́"	Mu
