Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES	UNICODE
^-	NULL
-	NULL	NULL	NULL	702	U+002D	"-eɾ,-ko,-ʔõm"	Ak,Ar,Aw,Gv,Ju,Ka,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+002d
.	+	_	Marker	18	U+002E	"ßa.i,é.ẽn,ʔɨɾui.ii"	Ma,Me,Pu,Su	
A	A/a	A	Vowel	1	U+0041	"Arɟitã́k ká"	Ka	U+0041
K	K/k	K	Consonant	1	U+004B	"Ktãndik"	Ka	U+004b
M	M/m	M	Consonant	2	U+004D	"Mawéaɾóbo,Mepaɡop"	Mw,Su	U+004d
P	P/p	P	Consonant	1	U+0050	"Pubidek"	Ka	U+0050
S	S/s	S	Consonant	2	U+0053	"Saʃítak,Suʃitak"	Ka	U+0053
T	T/t	T	Consonant	1	U+0054	"Tupakop"	Mw	U+0054
W	W/w	W	Consonant	1	U+0057	"Wapaɡop"	Mw	U+0057
a	a	A	Vowel	1160	U+0061	"owaj,tʃato,waw waw"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+0061
b	b	P	Consonant	158	U+0062	"-ʦabi-káp,ibik tĩɲã,tajbɨʔ"	Ak,Ar,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Pg,Pt,Pu,Sa,Su,Uk,Wa,Xi,Zo	U+0062
c	c	C	Consonant	50	U+0063	"caɡáɾo kõm-nem,cán nãʔ,iʔcak mãm"	Ar,Gv,Ka,Zo	U+0063
d	d	T	Consonant	87	U+0064	"ipidepide-a,kádɨ̤k,ẽdu"	Ar,Gv,Ju,Ka,Kt,Ku,Mu,Pg,Pt,Pu,Sa,Su,Uk,Wa,Xi,Zo	U+0064
e	e	E	Vowel	437	U+0065	"jande,kem,totet"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+0065
g	g	K	Consonant	1	U+0067	"i-jogá peʔ"	Ka	U+0067
h	h	H	Consonant	145	U+0068	"ham,ho,hɨ"	Ju,Ka,Kt,Ma,Mw,Pg,Pt,Pu,Ta,Tu,Uk,Xi	U+0068
i	i	I	Vowel	532	U+0069	"kapiʃe,mianʔa,ɡip"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+0069
j	j	J	Consonant	257	U+006A	"ej pat,maʔpəj,póòj"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+006a
k	k	K	Consonant	655	U+006B	"aóka,kama,kapĩã"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+006b
l	l	L	Consonant	37	U+006C	"-palabót,-ãbo-kã́ãl,lɨp"	Ar,Aw,Gv,Ku,Ma,Sa,Zo	U+006c
m	m	M	Consonant	266	U+006D	"-namã́,mianʔa,ɮõmi"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+006d
n	n	N	Consonant	267	U+006E	"kɨɲẽẽn,tããn,una"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+006e
o	o	U	Vowel	428	U+006F	"opsiʔa,sot,tjop"	Ak,Ar,Aw,Gv,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Zo	U+006f
p	p	P	Consonant	741	U+0070	"-sapṍõ̀p,ipot,wəp"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+0070
r	r	R	Consonant	1	U+0072	"Arɟitã́k ká"	Ka	U+0072
s	s	S	Consonant	145	U+0073	"aose,siit,siʤa"	Ar,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Sa,Su,Tu,Uk,Xi,Zo	U+0073
t	t	T	Consonant	480	U+0074	"eɾaat,kojtpit,sitkia"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+0074
u	u	Y	Vowel	241	U+0075	"kɨɾɨtu,tuʃi,uɾuʔap"	Ak,Aw,Ju,Ka,Ma,Mw,Pg,Pt,Pu,Uk,Xi	U+0075
v	v	B	Consonant	28	U+0076	"-akuv,-kav,ɨvɨtɨ"	Pg,Pt	U+0076
w	w	W	Consonant	127	U+0077	"waɾowaɾo,weidɨsip,wãbí"	Ak,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pu,Sa,Su,Ta,Tu,Uk,Xi,Zo	U+0077
z	z	S	Consonant	13	U+007A	"-zaku,uzudɨ,zooj-káàp"	Ju,Sa,Xi,Zo	U+007a
ß	β	B	Consonant	85	U+00DF	"-ßa,aßɨßɨßa,ßat kõp kíìt"	Ar,Gv,Ma,Pg,Pu,Sa,Su,Wa,Zo	U+00df
à	à/a	A	Vowel	15	U+00E0	"-sabi-káàp,-ʦabi-káàp,káàp"	Gv,Zo	U+00e0
á	á/a	A	Vowel	217	U+00E1	"-cákõõj,-ßeɾe-tá,ɡáti káp"	Ar,Gv,Ju,Ka,Ku,Mu,Sa,Su,Zo	U+00e1
â	â/a	A	Vowel	3	U+00E2	"-aʔâàt,-paɾâàt,iì pâàp"	Gv	U+00e2
ã	ã	A	Vowel	218	U+00E3	"cán nãʔ,ekaɾĩnã,ãpe"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+00e3
è	è/e	E	Vowel	8	U+00E8	"pa-deɾè,sábéè,ʦábéè"	Ar,Gv,Zo	U+00e8
é	é/e	E	Vowel	72	U+00E9	"abé,pép,ʃeé"	Ar,Gv,Ju,Mu,Pt,Sa,Su,Zo	U+00e9
ê	ê/e	E	Vowel	2	U+00EA	"-pêèp,-ßêɾe-tá"	Gv	U+00ea
ì	ì/i	I	Vowel	18	U+00EC	"-ko-kíìp,-kíìt,îìp"	Gv,Zo	U+00ec
í	í/i	I	Vowel	86	U+00ED	"-palí,akíɾiʧé,wãbí"	Ar,Gv,Ju,Ka,Ku,Mu,Pu,Sa,Su,Zo	U+00ed
î	î/i	I	Vowel	3	U+00EE	"-nepî-àp,-ámîì,îìp"	Gv	U+00ee
ò	ò/o	U	Vowel	20	U+00F2	"-ßolò,-ádóò,póòj"	Gv,Zo	U+00f2
ó	ó/o	U	Vowel	49	U+00F3	"daó,mó-sĩ́ĩ́n,ó.ẽn"	Ar,Gv,Ka,Ku,Mu,Sa,Su,Zo	U+00f3
ô	ô/o	U	Vowel	6	U+00F4	"-kôɾo,-ábôò kã́lĩ,ôòj"	Gv	U+00f4
õ	õ	U	Vowel	98	U+00F5	"aʔõʃabida,ɮõmi,ʔõpe"	Ak,Ar,Aw,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Zo	U+00f5
ú	ú/u	Y	Vowel	24	U+00FA	"akúhú,cú,huakú"	Aw,Ju,Ka,Su	U+00fa
ĩ	ĩ	I	Vowel	98	U+0129	"káʃĩbɨa,kã́lĩ,kĩɾĩɲã"	Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+0129
ŋ	ŋ	N	Consonant	91	U+014B	"ŋɡwai,ə̃ŋʔá,ɲĩĩŋ"	Ak,Ar,Aw,Ka,Kt,Ku,Ma,Mu,Mw,Pt,Su,Ta,Wa	U+014b
ũ	ũ	Y	Vowel	20	U+0169	"-kũ,aũ,maʦũʔjɨt"	Aw,Ju,Mw,Pg,Pt,Pu,Uk,Wa,Xi	U+0169
ə	ə	E	Vowel	23	U+0259	"-ɾət,bətét,maʔpəj"	Ka,Mu,Pu	U+0259
ɟ	ɟ	C	Consonant	2	U+025F	"-ɟa-káp,Arɟitã́k ká"	Ar,Ka	U+025f
ɡ	g	K	Consonant	86	U+0261	"i-caɡá ʔaʔ,ŋɡopŋɡop,ɲãŋɡoja"	Ar,Aw,Gv,Ka,Kt,Ma,Me,Mw,Pt,Sa,Su,Wa,Zo	U+0261
ɨ	ɨ	I	Vowel	412	U+0268	"i-tuwɨɾ,naʔjop cɨʔ,wãtɨm"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+0268
ɬ	ɬ	L	Consonant	6	U+026C	"ßáɬet,ɬoj,ɬét"	Ku,Su	U+026c
ɮ	ɮ	L	Consonant	15	U+026E	"wíɮaɮa,ɮao,ɮe-jʔo"	Ju,Ku	U+026e
ɲ	ɲ	N	Consonant	58	U+0272	"iɲẽmpe,ɲũkɨɾa,ɲʤokwaj"	Ak,Ar,Kt,Ma,Me,Pg,Pt,Pu,Tu,Wa	U+0272
ɸ	ɸ	B	Consonant	1	U+0278	"ɸo"	Tu	U+0278
ɾ	ɾ	R	Consonant	303	U+027E	"aɾop,pep oɾa,waɾahɨ"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi,Zo	U+027e
ʃ	ʃ	S	Consonant	77	U+0283	"ʃiɾaha,ʃáme.ṍ,ʃĩʃĩ"	Ju,Ka,Ku,Mu,Pg,Pt,Pu,Sa,Su,Uk,Xi,Zo	U+0283
ʐ	ʐ	S	Consonant	4	U+0290	"poʐɨʔa,taʐatiŋ,taʐaʔipuk"	Aw	U+0290
ʒ	ʒ	S	Consonant	1	U+0292	"-ʒa-káp"	Sa	U+0292
ʔ	ʔ	H	Consonant	330	U+0294	"i-ʔak,sawaʔe,ɲãpiʔ"	Ak,Ar,Aw,Gv,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Tu,Uk,Wa	U+0294
ʣ	dz	C	Consonant	4	U+02A3	"ßãʣet,ʣoj,ʣooj"	Ar,Gv	U+02a3
ʤ	dʒ	T	Consonant	22	U+02A4	"ka-ʤə̤k,kɨʤi,ɲʤokwaj"	Ju,Kt,Ku,Ma,Mu,Wa,Xi	U+02a4
ʦ	ts	C	Consonant	26	U+02A6	"-ʦép,o-piʦo,ʦábé"	Ar,Aw,Gv,Me	U+02a6
ʧ	tʃ	T	Consonant	45	U+02A7	"íí-ʧeɾ,ʧaa,ʧãŋ-ʔi"	Ak,Ju,Kt,Ku,Ma,Mu,Su,Tu,Wa	U+02a7
ṍ	õ	U	Vowel	17	U+1E4D	"-ʦapṍp,jṍm-a,ṍn"	Ar,Gv,Mu,Sa,Su,Zo	U+1e4d
ṹ	ũ	Y	Vowel	3	U+1E79	"-ĩʔṹ,naníṹ,ʔáṹ"	Ju	U+1e79
ẽ	ẽ	E	Vowel	72	U+1EBD	"komeʔẽ,ó.ẽn,ʧẽɾõ"	Ak,Aw,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Sa,Su,Ta,Tu,Uk,Wa,Xi	U+1ebd
aa	aː	A	Vowel	30	U+0061 U+0061	"-kaap,apokwaat,i-paaɡa"	Ar,Ma,Me,Mw,Pg,Sa,Su,Ta,Tu,Wa,Zo	U+0061 U+0061
a̤	a̤	A	Vowel	10	U+0061 U+0324	"akana̤sə̃́,bia̤,ɮóbia̤"
be	b e	P E	Consonant Vowel	24	U+0062 U+0065	"i-pábeʔ,kijã-be,poɾabedə"	Ar,Gv,Ka,Ku,Mu,Pt,Pu,Sa,Su,Uk,Zo	
do	d o	T U	Consonant Vowel	22	U+0064 U+006F	"dok,kãjdo,ndoo"	Ar,Gv,Ku,Ma,Mu,Pt,Pu,Sa,Wa,Zo	
ee	eː	E	Vowel	13	U+0065 U+0065	"-keet,aʔpiʧeep,pã-deet"	Ma,Me,Sa,Su,Tu,Wa,Zo	U+0065 U+0065
ii	iː	I	Vowel	34	U+0069 U+0069	"-ciit,-pii,ɡiitʔa"	Ar,Gv,Kt,Ma,Me,Mw,Sa,Su,Wa,Zo	U+0069 U+0069
i̤	i̤	I	Vowel	2	U+0069 U+0324	"idi̤bí,i̤pí"	Mu	U+0069 U+0324
ju	j u	J Y	Consonant Vowel	19	U+006A U+0075	"a-juka,ju,juka"	Aw,Ju,Ka,Pg,Pt,Uk,Wa	
kw	k w	K W	Consonant Consonant	18	U+006B U+0077	"kwai,oßitakwa,ɲʤokwaj"	Aw,Ma,Me,Pt,Ta,Tu,Uk,Wa	U+006b U+0077
ms	m s	M S	Consonant Consonant	1	U+006D U+0073	"amsi"	Tu	U+006d U+0073
nh	n h	N H	Consonant Consonant	1	U+006E U+0068	"ahunhɨʔa"	Ma	U+006e U+0068
oo	oː	U	Vowel	16	U+006F U+006F	"-ooɾ,-ámoo-kããɾ,zooj-káàp"	Ar,Kt,Ma,Me,Sa,Su,Wa,Zo	U+006f U+006f
o̤	o̤	U	Vowel	1	U+006F U+0324	"ɾo̤jɾə̤j"	Mu	U+006f U+0324
ps	p s	P S	Consonant Consonant	6	U+0070 U+0073	"apsiʔa,dopsa̤,j-opsa̤"	Mu,Tu	U+0070 U+0073
pw	p w	P W	Consonant Consonant	1	U+0070 U+0077	"pwã"	Aw	U+0070 U+0077
pʃ	p ʃ	P S	Consonant Consonant	2	U+0070 U+0283	"ʃãpʃãm,ʃépʃép"	Mu,Pu	U+0070 U+0283
ta	t a	T A	Consonant Vowel	92	U+0074 U+0061	"h-eta,tatɨaʔɨt,wata"	Ak,Aw,Ju,Ka,Kt,Ku,Ma,Me,Mu,Mw,Pg,Pt,Pu,Su,Ta,Tu,Uk,Wa,Xi	
tw	t w	T W	Consonant Consonant	1	U+0074 U+0077	"kitwat"	Tu	U+0074 U+0077
tʃ	tʃ	T	Consonant	7	U+0074 U+0283	"piitʃe,tʃeßaoo,ʔõmtʃẽm"	Ma	U+0074 U+0283
uu	uː	Y	Vowel	1	U+0075 U+0075	"suu"	Mw	U+0075 U+0075
ws	w s	W S	Consonant Consonant	1	U+0077 U+0073	"awsa"	Tu	U+0077 U+0073
áá	áá/aː	A	Vowel	5	U+00E1 U+00E1	"-ááta,mááj,ã́nááɾ"	Su	U+00e1 U+00e1
ãã	ãː	A	Vowel	8	U+00E3 U+00E3	"- ámĩãã,-nãß-ãã,-ámoo-kããɾ"	Ar,Me,Su,Tu,Zo	U+00e3 U+00e3
ã̀	ã̀/ã	A	Vowel	6	U+00E3 U+0300	"kã́ã̀j,mó-kã́ã̀j,pó-kã́ã̀j"	Gv,Sa,Su,Zo	U+00e3 U+0300
ã́	ã́/ã	A	Vowel	40	U+00E3 U+0301	"-kã́ɡã,ã́dátʔa,ã́dáàt"	Ar,Gv,Ju,Ka,Sa,Su,Zo	U+00e3 U+0301
éh	é/e h	E H	Vowel Consonant	3	U+00E9 U+0068	"bitéhu,kamadéhú,meméhinaku"	Ju	U+00e9 U+0068
éé	éé/eː	E	Vowel	5	U+00E9 U+00E9	"-ko-ʃééɾ,-péép,déét"	Sa,Su	U+00e9 U+00e9
íí	íí/iː	I	Vowel	12	U+00ED U+00ED	"bííɾa,íí-ʧeɾ,ííp"	Ar,Sa,Su	U+00ed U+00ed
ós	ó/o s	U S	Vowel Consonant	1	U+00F3 U+0073	"bósaat"	Zo	U+00f3 U+0073
óó	óó/oː	U	Vowel	22	U+00F3 U+00F3	"-abóó kã́lĩ,-ßóóp,-óóp"	Ar,Gv,Sa,Su,Zo	U+00f3 U+00f3
õõ	õ/õː	U	Vowel	9	U+00F5 U+00F5	"-cákõõj,-nõõ,ŋõõj-ŋííɾ"	Ar,Gv,Sa,Su,Zo	U+00f5 U+00f5
õ̀	õ̀/õ	U	Vowel	6	U+00F5 U+0300	"-sapṍõ̀p,jõ̂õ̀p,ṍõ̀p"	Gv,Zo	U+00f5 U+0300
õ̂	õ̂/õ	U	Vowel	2	U+00F5 U+0302	"-kõ̂õ̀j,jõ̂õ̀p"	Gv	U+00f5 U+0302
ĩĩ	ĩː	I	Vowel	13	U+0129 U+0129	"-ãbo kã́ã́lĩĩ,-ãcĩĩt,sĩĩt"	Ar,Ju,Ka,Ma,Me,Sa,Su,Wa,Zo	U+0129 U+0129
ĩ́	ĩ́/ĩ	I	Vowel	12	U+0129 U+0301	"-ʃĩ́ʃĩ,aʔĩ́ʤo,mĩ́jakábɨt"	Ar,Gv,Ju,Mu,Su	U+0129 U+0301
ŋw	ŋ w	N W	Consonant Consonant	4	U+014B U+0077	"kaŋwe,ŋwi,ɲaŋwatiŋ"	Pg,Pt,Uk	U+014b U+0077
ə́	ə́/ə	E	Vowel	8	U+0259 U+0301	"i-bə́,nə̤jbə́,ŋə́"	Ka,Mu	U+0259 U+0301
ə̃	ə̃	E	Vowel	8	U+0259 U+0303	"i-kə̃m,wásə̃,wəɾəɾə̃ŋ"	Ku,Mu	U+0259 U+0303
ə̤	ə̤	E	Vowel	6	U+0259 U+0324	"i-ʧə̤k,ka-ʤə̤k,ɾo̤jɾə̤j"		U+0259 U+0324
ɡw	g w	K W	Consonant Consonant	19	U+0261 U+0077	"t-oɡwe,ɡwaja,ɡwasu"	Pg,Pt,Wa	U+0261 U+0077
ɨɨ	ɨː	I	Vowel	14	U+0268 U+0268	"kɨɨjt,tɨɨ,áwɨɨl"	Kt,Ma,Me,Mw,Sa,Su,Ta,Wa	U+0268 U+0268
ɨ̤	ɨ̤	I	Vowel	1	U+0268 U+0324	"kádɨ̤k"		U+0268 U+0324
ʔw	ʔ w	H W	Consonant Consonant	2	U+0294 U+0077	"caʔwap,maʔwɨt"	Ka	U+0294 U+0077
ṍṍ	ṍṍ/õː	U	Vowel	8	U+1E4D U+1E4D	"jṍṍß-a,mṍṍt,ɡṍṍj"	Ar,Gv,Sa,Su,Zo	U+1e4d U+1e4d
ẽ́	ẽ́/ẽ	E	Vowel	1	U+1EBD U+0301	"ẽ́n"	Mu	U+1ebd U+0301
ẽẽ	ẽː	E	Vowel	10	U+1EBD U+1EBD	"kĩjẽẽn,ẽẽm,ẽẽt"	Ar,Gv,Kt,Ma,Me,Sa,Tu,Wa,Zo	U+1ebd U+1ebd
-bí	b í/i	P I	Consonant Vowel	4	U+002D U+0062 U+00ED	"-bí,-bíʔa"	Ar,Gv,Sa,Zo	
aʤó	a dʒ ó/o	A T U	Vowel Consonant Vowel	1	U+0061 U+02A4 U+00F3	"aʤó"	Mu	
dot	d o t	T U T	Consonant Vowel Consonant	2	U+0064 U+006F U+0074	"dot"	Ku,Mu	
het	h e t	H E T	Consonant Vowel Consonant	1	U+0068 U+0065 U+0074	"het"	Mw	
huu	h uː	H Y	Consonant Vowel	2	U+0068 U+0075 U+0075	"huu,huun"	Mw	
tao	t a o	T A U	Consonant Vowel Vowel	1	U+0074 U+0061 U+006F	"tao"	Ku	
tap	t a p	T A P	Consonant Vowel Consonant	11	U+0074 U+0061 U+0070	"tap,watapa,ɨtap"	Ak,Aw,Ku,Me,Mu,Pu,Xi	
taó	t a ó/o	T A U	Consonant Vowel Vowel	1	U+0074 U+0061 U+00F3	"taó"	Mu	
tiŋ	t i ŋ	T I N	Consonant Vowel Consonant	9	U+0074 U+0069 U+014B	"-tiŋ,tiŋ,ɨʔɨtiŋ"	Aw,Mu,Pt	
toj	t o j	T U J	Consonant Vowel Consonant	4	U+0074 U+006F U+006A	"toj,weɾo toj"	Ka,Ku,Mu	
tãj	t ã j	T A J	Consonant Vowel Consonant	4	U+0074 U+00E3 U+006A	"etãj,tãj,tãjãjã"	Aw,Ku,Xi	
təp	t ə p	T E P	Consonant Vowel Consonant	3	U+0074 U+0259 U+0070	"təp"	Mu,Pu	
tɨp	t ɨ p	T I P	Consonant Vowel Consonant	2	U+0074 U+0268 U+0070	"tɨp"	Ku,Pu	
zét	z é/e t	S E T	Consonant Vowel Consonant	2	U+007A U+00E9 U+0074	"zét"	Sa,Zo	
ãã́	ãã́/ãː	A	Vowel	4	U+00E3 U+00E3 U+0301	"ãã́"	Ar,Gv,Su,Zo	
ə̃́	ə̃́/ə̃	E	Vowel	4	U+0259 U+0303 U+0301	"akana̤sə̃́,pə̃́ŋ,wə̃́jbaát"	Mu	U+0259 U+0303 U+0301
ɮét	ɮ é/e t	L E T	Consonant Vowel Consonant	1	U+026E U+00E9 U+0074	"ɮét"	Su	
ʣét	dz é/e t	C E T	Consonant Vowel Consonant	2	U+02A3 U+00E9 U+0074	"ʣét"	Ar,Gv	
ʧĩn	tʃ ĩ n	T I N	Consonant Vowel Consonant	1	U+02A7 U+0129 U+006E	"ʧĩn"	Ku	
